brand,image_url,brand_encoded,feature_Longevity_Men,feature_Longevity_Unisex,feature_Longevity_Women,feature_Occasion_Business,feature_Occasion_Daily,feature_Occasion_Evening,feature_Occasion_Leisure,feature_Occasion_Night_Out,feature_Occasion_Sports,feature_Season_Fall,feature_Season_Spring,feature_Season_Summer,feature_Season_Winter,feature_Style_Classic,feature_Style_Modern,feature_Type_Animalic,feature_Type_Aquatic,feature_Type_Chypre,feature_Type_Citrus,feature_Type_Creamy,feature_Type_Earthy,feature_Type_Floral,feature_Type_Fougere,feature_Type_Fresh,feature_Type_Fruity,feature_Type_Gourmand,feature_Type_Green,feature_Type_Leathery,feature_Type_Oriental,feature_Type_Powdery,feature_Type_Resinous,feature_Type_Smoky,feature_Type_Spicy,feature_Type_Sweet,feature_Type_Synthetic,feature_Type_Woody
Vanilla Cake Montale,https://pimages.parfumo.de/240/106077_img-9040-montale-vanilla_cake_240.jpg,1282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Lann-Aël Lostmarc'h,https://pimages.parfumo.de/240/6318_img-2236-lostmarc-h-lann-ael_240.jpg,666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Dark Chocolate, Rum, and Vanilla The Dua Brand / Dua Fragrances",https://pimages.parfumo.de/240/147700_img-3458-the-dua-brand-dua-fragrances-dark-chocolate-rum-and-vanilla_240.jpg,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Peau d'Ange Cerchi Nell'Acqua,https://pimages.parfumo.de/240/51919_xzpwvr_peau_d_ange_240.jpg,969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Fire at Will Jovoy,https://pimages.parfumo.de/240/154951_img-2700-jovoy-fire-at-will_240.jpg,434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Eden Juicy Apple | 01 Kayali,https://pimages.parfumo.de/240/156712_img-4817-kayali-eden-juicy-apple-01_240.jpg,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Boss Alive Intense Hugo Boss,https://pimages.parfumo.de/240/163447_img-7623-hugo-boss-boss-alive-intense_240.jpg,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Vanilla | 28 Kayali,https://pimages.parfumo.de/240/118088_img-1366-kayali-vanilla__28_240.jpg,1284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Lait et Chocolat Chabaud,https://pimages.parfumo.de/240/86827_img-8076-chabaud-lait-et-chocolat_240.jpg,663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Barony Brazil - Coconut Village Cosmetics,https://pimages.parfumo.de/240/67051_wobvd5_coconut_240.jpg,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Eclaire Lattafa / لطافة,https://pimages.parfumo.de/240/260746_img-1350-lattafa-eclaire_240.jpg,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Riso Tuttotondo,https://pimages.parfumo.de/240/87086_img-9805-tuttotondo-riso_240.jpg,1047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bisquit Arte Profumi,https://pimages.parfumo.de/240/149853_img-5502-arte-profumi-bisquit_240.jpg,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Parlez-moi d'Amour Eau Fraîche John Galliano,https://pimages.parfumo.de/240/17867_img-1391-john_galliano-parlez_moi_d_amour_eau_fraiche_240.jpg,938,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lozione Dopobarba (green) Proraso,https://pimages.parfumo.de/240/88004_xc27ke_green_aftershave_lotion_240.jpg,728,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mini Pink Ulric de Varens,https://pimages.parfumo.de/240/9501_img-8081-ulric-de-varens-mini-pink_240.jpg,786,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pur Désir de Mimosa Yves Rocher,https://pimages.parfumo.de/240/7522_br4sc2i4fo_240.jpg,1016,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nudo Rose Pomellato,https://pimages.parfumo.de/240/30563_img-5738-pomellato-nudo_rose_240.jpg,856,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candy Sugar Pop Prada,https://pimages.parfumo.de/240/101664_img-1826-prada-candy_sugar_pop_240.jpg,234,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Incandessence  Avon,https://pimages.parfumo.de/240/2768_uk7wripc4w_240.jpg,557,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orange Blossom  Jo Malone,https://pimages.parfumo.de/240/6581_img-4409-jo_malone-orange_blossom_cologne_240.jpg,891,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Like a First Day in Spring essence,https://pimages.parfumo.de/240/19072_img-5682-essence-like-a-first-day-in-spring_240.jpg,712,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skin Trussardi,https://pimages.parfumo.de/240/255_biziesn56g_240.jpg,1136,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flora by Gucci Gracious Tuberose Gucci,https://pimages.parfumo.de/240/17885_img-8844-gucci-flora_by_gucci_gracious_tuberose_240.jpg,445,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aqua Allegoria Pivoine Magnifica Guerlain,https://pimages.parfumo.de/240/1777_ffbm8mzwny_240.jpg,89,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Island Fantasy  Britney Spears,https://pimages.parfumo.de/240/24356_cay8iai4ze_240.jpg,584,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pop Stella McCartney,https://pimages.parfumo.de/240/71387_img-8664-stella-mccartney-pop_240.jpg,999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hilfiger Woman Pear Blossom Tommy Hilfiger,https://pimages.parfumo.de/240/18625_xtbbxfuro5_240.jpg,530,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magnolia  Yves Rocher,https://pimages.parfumo.de/240/3047_4ob2gk_magnolia_240.jpg,742,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tagtraum Alverde,https://pimages.parfumo.de/240/132264_img-8702-alverde-tagtraum_240.jpg,1199,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pivoine Yves Rocher,https://pimages.parfumo.de/240/6222_8rt32e_pivoine_240.jpg,985,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egoluxe Feminin  Otto Kern,https://pimages.parfumo.de/240/9494_bc7rjkdcwj_240.jpg,388,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ed Hardy for Women  Ed Hardy,https://pimages.parfumo.de/240/557_8t0hxsbzde_240.jpg,383,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Here To Stay Naomi Campbell,https://pimages.parfumo.de/240/142211_img-2035-naomi-campbell-here-to-stay_240.jpg,528,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tilleul Cédrat Fragonard,https://pimages.parfumo.de/240/26192_d7nw6qzt8h_240.jpg,1234,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gucci Eau de Parfum II Gucci,https://pimages.parfumo.de/240/1637_img-8663-gucci-gucci-eau-de-parfum-ii_240.jpg,511,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eternity Summer 2013 Calvin Klein,https://pimages.parfumo.de/240/24337_se2wr6xnea_240.jpg,412,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japanese Cherry Blossom  The Body Shop,https://pimages.parfumo.de/240/5845_img-7937-the_body_shop-japanese_cherry_blossom_cerisier_du_japon_240.jpg,595,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pleasures  Estēe Lauder,https://pimages.parfumo.de/240/19991_ptyc7gb4r6_240.jpg,988,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona Bloom Floral Street,https://pimages.parfumo.de/240/141366_img-3818-floral-street-arizona-bloom_240.jpg,103,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Springtime in a Park Maison Margiela,https://pimages.parfumo.de/240/129712_img-8805-maison-margiela-replica-springtime-in-a-park_240.jpg,1163,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honey  Marc Jacobs,https://pimages.parfumo.de/240/25976_img-1136-marc_jacobs-honey_eau_de_parfum_240.jpg,537,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yin Transformation  The Harmonist,https://pimages.parfumo.de/240/116141_img-4289-the_harmonist-yin_transformation_240.jpg,1364,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eau de Karma Thomas Sabo,https://pimages.parfumo.de/240/62502_kvgyk4_eau_de_karma_240.jpg,368,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Balenciaga Paris L'Eau Rose Balenciaga,https://pimages.parfumo.de/240/22550_img-1285-balenciaga-balenciaga-paris-l-eau-rose_240.jpg,139,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boss Jour pour Femme Hugo Boss,https://pimages.parfumo.de/240/26674_img-3775-hugo_boss-boss_jour_pour_femme_240.jpg,198,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forbidden Rose Avril Lavigne,https://pimages.parfumo.de/240/9047_img-2483-avril-lavigne-forbidden-rose_240.jpg,453,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cherry in Japan Escada,https://pimages.parfumo.de/240/158119_img-2441-escada-cherry-in-japan_240.jpg,258,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osmanthus Blossom Jo Malone,https://pimages.parfumo.de/240/25366_img-8355-jo-malone-osmanthus-blossom_240.jpg,909,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pur Désir de Pivoine  Yves Rocher,https://pimages.parfumo.de/240/7500_img-4148-yves_rocher-pur_desir_de_pivoine_eau_de_toilette_240.jpg,1017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scarlett Cacharel,https://pimages.parfumo.de/240/2971_img-4180-cacharel-scarlett_240.jpg,1102,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flight of Fancy Anna Sui,https://pimages.parfumo.de/240/2660_img-8979-anna_sui-flight_of_fancy_240.jpg,441,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plum & Honey 4711,https://pimages.parfumo.de/240/48656_5tf2cm_acqua_colonia_plum__honey_240.jpg,990,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Summer Hill  Crabtree & Evelyn,https://pimages.parfumo.de/240/3492_vye0at_summer_hill_240.jpg,1169,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eau de Paradis Biotherm,https://pimages.parfumo.de/240/7349_6yoz35cvoi_240.jpg,376,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Woman Nº 3 Betty Barclay,https://pimages.parfumo.de/240/322_img-1288-betty-barclay-woman-no-3_240.jpg,1350,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laura  Laura Biagiotti,https://pimages.parfumo.de/240/2677_img-8931-laura_biagiotti-laura_eau_de_parfum_240.jpg,669,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miu Miu L'Eau Bleue Miu Miu,https://pimages.parfumo.de/240/81214_utvp3m_miu_miu_l_eau_bleue_240.jpg,794,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gingembre Rouge  Roger & Gallet,https://pimages.parfumo.de/240/40004_t7tbwwbruf_240.jpg,493,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Missing Person  Phlur,https://pimages.parfumo.de/240/164551_img-2053-phlur-missing-person_240.jpg,792,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forever Elizabeth Elizabeth Taylor,https://pimages.parfumo.de/240/4668_3j27b5_forever_elizabeth_240.jpg,454,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Autumn Vibes Maison Margiela,https://pimages.parfumo.de/240/150996_img-4502-maison-margiela-replica-autumn-vibes_240.jpg,125,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falling in Leaves Atkinsons,https://pimages.parfumo.de/240/96689_img-5168-atkinsons-falling_in_leaves_240.jpg,424,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bello Rabelo Liquides Imaginaires,https://pimages.parfumo.de/240/35176_img-1457-les_liquides_imaginaires-bello_rabelo__eau_sanguine_240.jpg,154,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Copper Skies Kerosene,https://pimages.parfumo.de/240/17770_4vfmfopvz4_240.jpg,294,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Muse du Soir Georges Rech,https://pimages.parfumo.de/240/46366_o5hddo_muse_du_soir_240.jpg,817,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poka pernoire,https://pimages.parfumo.de/240/283285_img-9972-pernoire-poka_240.jpg,995,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glühwein Pineward,https://pimages.parfumo.de/240/157234_img-9040-pineward-gluhwein_240.jpg,499,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Old Fashioned Kilian,https://pimages.parfumo.de/240/273799_img-4116-kilian-old-fashioned_240.jpg,871,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Praline in Maple Scents of Wood,https://pimages.parfumo.de/240/157624_img-5201-scents-of-wood-praline-in-maple_240.jpg,1010,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23°37'N 58°34'E - Oman Les Destinations,https://pimages.parfumo.de/240/153757_img-1777-les-destinations-23-37-n-58-34-e-oman_240.jpg,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Leather New Notes,https://pimages.parfumo.de/240/157780_img-9800-new-notes-contemporary-blend-collection-new-leather_240.jpg,837,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Dandy Penhaligon's,https://pimages.parfumo.de/240/269272_img-5708-penhaligon-s-the-dandy_240.jpg,1215,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trésor L'Absolu de Parfum Lancôme,https://pimages.parfumo.de/240/30008_22gtxtebz2_240.jpg,1247,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madeleine Masque,https://pimages.parfumo.de/240/145966_img-1244-masque-madeleine_240.jpg,740,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
George Jardins d'Écrivains,https://pimages.parfumo.de/240/21839_img-5707-jardins-d-ecrivains-george_240.jpg,490,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ambre Intense Evody,https://pimages.parfumo.de/240/6611_a56yz4_ambre_intense_240.jpg,59,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Les 4 Saisons - Automne M. Micallef,https://pimages.parfumo.de/240/4186_7nz07jtfmh_240.jpg,696,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
502 Iris Cartagena Bon Parfumeur,https://pimages.parfumo.de/240/278866_img-2964-bon-parfumeur-502-iris-cartagena_240.jpg,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Après Ellis Brooklyn,https://pimages.parfumo.de/240/158557_img-1075-ellis-apres_240.jpg,85,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intricate Boadicea the Victorious,https://pimages.parfumo.de/240/7803_m3nrzms4wi_240.jpg,573,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intimate Incense Birkholz,https://pimages.parfumo.de/240/143205_img-6629-birkholz-intimate-incense_240.jpg,569,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Autumn Nocturne Annette Neuffer,https://pimages.parfumo.de/240/118076_img-9210-annette_neuffer-autumn_nocturne_240.jpg,124,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ambre Royal Jardin Bohème,https://pimages.parfumo.de/240/184173_img-6177-jardin-boheme-les-essences-ambre-royal_240.jpg,62,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil Nut The Body Shop,https://pimages.parfumo.de/240/27340_beagpt_brazil_nut_noix_du_bresil_240.jpg,205,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otimo pernoire,https://pimages.parfumo.de/240/276805_img-5338-pernoire-otimo_240.jpg,910,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inquisitive Boadicea the Victorious,https://pimages.parfumo.de/240/7802_img-4181-boadicea_the_victorious-courage_collection__inquisitive_240.jpg,564,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Revelries Pineward,https://pimages.parfumo.de/240/151950_img-4028-pineward-revelries_240.jpg,1045,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spanish Veil Edward Bess,https://pimages.parfumo.de/240/79563_j47m0s_spanish_veil_240.jpg,1154,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697  Frapin,https://pimages.parfumo.de/240/12017_img-7693-frapin-frapin_1697_absolu_de_parfum_240.jpg,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanilla Royale Sugared Patchouli | 64 Kayali,https://pimages.parfumo.de/240/189051_img-9325-kayali-vanilla-royale-sugared-patchouli-64_240.jpg,1283,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28 Peau d'Ambre Pierre Guillaume,https://pimages.parfumo.de/240/132219_img-7622-pierre-guillaume-28-peau-d-ambre_240.jpg,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atelier d'Artiste Nez à Nez,https://pimages.parfumo.de/240/4877_djccq5tqwz_240.jpg,118,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ambre Muscadin LM Parfums,https://pimages.parfumo.de/240/15184_img-2818-lm-parfums-ambre-muscadin_240.jpg,61,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estrella de la Mañana Une Nuit Nomade,https://pimages.parfumo.de/240/283177_img-7250-une-nuit-nomade-estrella-de-la-manana_240.jpg,408,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turmeric Latte  Lush / Cosmetics To Go,https://pimages.parfumo.de/240/134812_img-2971-lush-cosmetics-to-go-turmeric-latte-perfume_240.jpg,1255,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sandal Granada Moresque,https://pimages.parfumo.de/240/95816_img-3139-moresque-art_collection__sandal_granada_240.jpg,1084,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pi Extreme Givenchy,https://pimages.parfumo.de/240/63949_5tvt83_pi_extreme_240.jpg,974,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chocolate Queen  Navitus Parfums,https://pimages.parfumo.de/240/189798_img-3380-navitus-parfums-chocolate-queen_240.jpg,263,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Secrets d'Essences - Rose Oud Yves Rocher,https://pimages.parfumo.de/240/67689_bzr6bj_secrets_d_essences__rose_oud_240.jpg,1105,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweet Tobacco 18.21 Man Made,https://pimages.parfumo.de/240/72762_img-9206-18-21-man-made-sweet-tobacco-spirits_240.jpg,1191,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ambre Khandjar Une Nuit Nomade,https://pimages.parfumo.de/240/130434_img-7440-une-nuit-nomade-ambre-khandjar_240.jpg,60,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
